title,link
Top 10 S&P 500 stock winners since Election Day,https://www.cnbc.com/2024/11/22/top-10-sp-500-stock-winners-since-election-day.html?&qsearchterm=stocks
"Buy these cheap stocks with high cash levels as new Trump tariffs loom, UBS says",https://www.cnbc.com/2024/11/22/buy-these-cheap-stocks-with-high-cash-levels-as-new-trump-tariffs-loom-ubs-says.html?&qsearchterm=stocks
"Jim Cramer is bullish on cybersecurity stocks, saying two industry leaders are buys",https://www.cnbc.com/2024/11/22/jim-cramer-is-bullish-on-cybersecurity-stocks-crowdstrike-palo-alto-networks.html?&qsearchterm=stocks
Friday’s big stock stories: What’s likely to move the market in the next trading session,https://www.cnbc.com/2024/11/21/fridays-big-stock-stories-whats-likely-to-move-the-market.html?&qsearchterm=stocks
"Stocks making the biggest moves premarket: Gap, NetApp, Intuit and more",https://www.cnbc.com/2024/11/22/stocks-making-the-biggest-moves-premarket-flut-gap-ntap-and-more.html?&qsearchterm=stocks
Piper Sandler highlights the stocks most likely to benefit from bullish market sentiment,https://www.cnbc.com/2024/11/21/piper-sandler-highlights-the-stocks-most-likely-to-benefit-from-bullish-market-sentiment.html?&qsearchterm=stocks
Cramer names oil and natural gas stocks set to do well under Trump,https://www.cnbc.com/2024/11/22/cramer-names-oil-and-natural-gas-stocks-set-to-do-well-under-trump.html?&qsearchterm=stocks
The portfolio’s biggest stock winners — and laggards — for the week,https://www.cnbc.com/2024/11/22/the-portfolios-biggest-stock-winners-and-laggards-for-the-week.html?&qsearchterm=stocks
HSBC names 2 China stock picks for 2025 — and gives one over 70% upside,https://www.cnbc.com/2024/11/22/hsbc-names-2-china-stock-picks-for-2025-and-gives-one-over-70percent-upside.html?&qsearchterm=stocks
We’re repurchasing shares of a health-care stock that we recently sold much higher,https://www.cnbc.com/2024/11/22/were-repurchasing-shares-of-a-health-care-stock-that-we-recently-sold-much-higher-.html?&qsearchterm=stocks
We’re repurchasing shares of a health-care stock that we recently sold much higher,https://www.cnbc.com/2024/11/22/were-repurchasing-shares-of-a-health-care-stock-that-we-recently-sold-much-higher-.html?&qsearchterm=stocks
"Morgan Stanley cautions against owning overcrowded stocks for risk of high valuation, volatility",https://www.cnbc.com/2024/11/22/morgan-stanley-cautions-against-owning-overcrowded-stocks-for-risk-of-high-valuation-volatility.html?&qsearchterm=stocks
"Friday, November 22, 2024: Cramer says this cybersecurity stock could go much higher",https://www.cnbc.com/video/2024/11/22/friday-november-22-2024-cramer-says-this-cybersecurity-stock-could-go-much-higher.html?&qsearchterm=stocks
"Stocks making the biggest moves after hours: Intuit, SL Green, Gap and more",https://www.cnbc.com/2024/11/21/stocks-making-the-biggest-moves-after-hours-intu-slg-gap.html?&qsearchterm=stocks
"Nvidia reversal moves whole stock market higher, proving again its unprecedented influence",https://www.cnbc.com/2024/11/21/nvidia-reversal-moves-whole-stock-market-higher-proving-again-its-unprecedented-influence.html?&qsearchterm=stocks
"Stocks making the biggest moves premarket: Snowflake, Nvidia, BJ’s Wholesale and more",https://www.cnbc.com/2024/11/21/stocks-making-the-biggest-moves-premarket-snow-nvda-bj-and-more.html?&qsearchterm=stocks
"Microsoft, Apple are the most under-owned megacap tech stocks, poised for a rebound, Morgan Stanley ...",https://www.cnbc.com/2024/11/20/microsoft-apple-are-the-most-under-owned-megacap-tech-stocks-morgan-stanley.html?&qsearchterm=stocks
"Europe stocks close higher; UK’s FTSE 100 posts best session for three months as sterling, ...",https://www.cnbc.com/2024/11/22/europe-markets-live-updates-stocks-news-data-and-earnings.html?&qsearchterm=stocks
"Palo Alto’s stock is on sale and now is a buying opportunity, says Freedom Capital’s ...",https://www.cnbc.com/video/2024/11/22/palo-altos-stock-is-on-sale-and-now-is-a-buying-opportunity-says-freedom-capitals-woods.html?&qsearchterm=stocks
FBI arrests homeless Florida man in alleged plot to bomb the New York Stock Exchange,https://www.cnbc.com/2024/11/20/fbi-arrests-homeless-florida-man-in-alleged-plot-to-bomb-the-new-york-stock-exchange.html?&qsearchterm=stocks
Top 10 S&P 500 stock winners since Election Day,https://www.cnbc.com/2024/11/22/top-10-sp-500-stock-winners-since-election-day.html?&qsearchterm=stocks
"Buy these cheap stocks with high cash levels as new Trump tariffs loom, UBS says",https://www.cnbc.com/2024/11/22/buy-these-cheap-stocks-with-high-cash-levels-as-new-trump-tariffs-loom-ubs-says.html?&qsearchterm=stocks
"Jim Cramer is bullish on cybersecurity stocks, saying two industry leaders are buys",https://www.cnbc.com/2024/11/22/jim-cramer-is-bullish-on-cybersecurity-stocks-crowdstrike-palo-alto-networks.html?&qsearchterm=stocks
Friday’s big stock stories: What’s likely to move the market in the next trading session,https://www.cnbc.com/2024/11/21/fridays-big-stock-stories-whats-likely-to-move-the-market.html?&qsearchterm=stocks
"Stocks making the biggest moves premarket: Gap, NetApp, Intuit and more",https://www.cnbc.com/2024/11/22/stocks-making-the-biggest-moves-premarket-flut-gap-ntap-and-more.html?&qsearchterm=stocks
Piper Sandler highlights the stocks most likely to benefit from bullish market sentiment,https://www.cnbc.com/2024/11/21/piper-sandler-highlights-the-stocks-most-likely-to-benefit-from-bullish-market-sentiment.html?&qsearchterm=stocks
Cramer names oil and natural gas stocks set to do well under Trump,https://www.cnbc.com/2024/11/22/cramer-names-oil-and-natural-gas-stocks-set-to-do-well-under-trump.html?&qsearchterm=stocks
The portfolio’s biggest stock winners — and laggards — for the week,https://www.cnbc.com/2024/11/22/the-portfolios-biggest-stock-winners-and-laggards-for-the-week.html?&qsearchterm=stocks
HSBC names 2 China stock picks for 2025 — and gives one over 70% upside,https://www.cnbc.com/2024/11/22/hsbc-names-2-china-stock-picks-for-2025-and-gives-one-over-70percent-upside.html?&qsearchterm=stocks
We’re repurchasing shares of a health-care stock that we recently sold much higher,https://www.cnbc.com/2024/11/22/were-repurchasing-shares-of-a-health-care-stock-that-we-recently-sold-much-higher-.html?&qsearchterm=stocks
We’re repurchasing shares of a health-care stock that we recently sold much higher,https://www.cnbc.com/2024/11/22/were-repurchasing-shares-of-a-health-care-stock-that-we-recently-sold-much-higher-.html?&qsearchterm=stocks
"Morgan Stanley cautions against owning overcrowded stocks for risk of high valuation, volatility",https://www.cnbc.com/2024/11/22/morgan-stanley-cautions-against-owning-overcrowded-stocks-for-risk-of-high-valuation-volatility.html?&qsearchterm=stocks
"Friday, November 22, 2024: Cramer says this cybersecurity stock could go much higher",https://www.cnbc.com/video/2024/11/22/friday-november-22-2024-cramer-says-this-cybersecurity-stock-could-go-much-higher.html?&qsearchterm=stocks
"Stocks making the biggest moves after hours: Intuit, SL Green, Gap and more",https://www.cnbc.com/2024/11/21/stocks-making-the-biggest-moves-after-hours-intu-slg-gap.html?&qsearchterm=stocks
"Nvidia reversal moves whole stock market higher, proving again its unprecedented influence",https://www.cnbc.com/2024/11/21/nvidia-reversal-moves-whole-stock-market-higher-proving-again-its-unprecedented-influence.html?&qsearchterm=stocks
"Stocks making the biggest moves premarket: Snowflake, Nvidia, BJ’s Wholesale and more",https://www.cnbc.com/2024/11/21/stocks-making-the-biggest-moves-premarket-snow-nvda-bj-and-more.html?&qsearchterm=stocks
"Microsoft, Apple are the most under-owned megacap tech stocks, poised for a rebound, Morgan Stanley ...",https://www.cnbc.com/2024/11/20/microsoft-apple-are-the-most-under-owned-megacap-tech-stocks-morgan-stanley.html?&qsearchterm=stocks
"Europe stocks close higher; UK’s FTSE 100 posts best session for three months as sterling, ...",https://www.cnbc.com/2024/11/22/europe-markets-live-updates-stocks-news-data-and-earnings.html?&qsearchterm=stocks
"Palo Alto’s stock is on sale and now is a buying opportunity, says Freedom Capital’s ...",https://www.cnbc.com/video/2024/11/22/palo-altos-stock-is-on-sale-and-now-is-a-buying-opportunity-says-freedom-capitals-woods.html?&qsearchterm=stocks
FBI arrests homeless Florida man in alleged plot to bomb the New York Stock Exchange,https://www.cnbc.com/2024/11/20/fbi-arrests-homeless-florida-man-in-alleged-plot-to-bomb-the-new-york-stock-exchange.html?&qsearchterm=stocks
"3-Stock Lunch: Google, Deere and Starbucks",https://www.cnbc.com/video/2024/11/21/3-stock-lunch-google-deere-and-starbucks.html?&qsearchterm=stocks
Thursday’s big stock stories: What’s likely to move the market in the next trading session,https://www.cnbc.com/2024/11/20/thursdays-big-stock-stories-whats-likely-to-move-the-market.html?&qsearchterm=stocks
HSBC names 3 ‘underappreciated’ Asian stocks to watch in 2025 — giving one 63% upside ...,https://www.cnbc.com/2024/11/21/hsbc-names-three-underappreciated-asian-stocks-to-watch-in-2025.html?&qsearchterm=stocks
"Stocks making the biggest moves midday: Netflix, Alphabet, Nvidia, BJ’s Wholesale Club and more",https://www.cnbc.com/2024/11/21/stocks-making-the-biggest-moves-midday-nflx-googl-nvda-bj.html?&qsearchterm=stocks
Jim Cramer’s top 10 things to watch in the stock market Friday,https://www.cnbc.com/2024/11/22/jim-cramers-top-10-things-to-watch-in-the-stock-market-friday.html?&qsearchterm=stocks
"Possible Rowan selection for Treasury secretary would be boost for Apollo stock, private equity industry, ...",https://www.cnbc.com/2024/11/21/possible-rowan-selection-for-treasury-secretary-would-be-boost-for-apollo-stock-private-equity-industry-says-td-cowen.html?&qsearchterm=stocks
Wednesday’s big stock stories: What’s likely to move the market in the next trading session,https://www.cnbc.com/2024/11/19/wednesdays-big-stock-stories-whats-likely-to-move-the-market.html?&qsearchterm=stocks
"Stocks making the biggest moves after hours: Nvidia, Snowflake and more",https://www.cnbc.com/2024/11/20/stocks-making-the-biggest-moves-after-hours-nvda-snow-and-more.html?&qsearchterm=stocks
5 things to know before the stock market opens Friday,https://www.cnbc.com/2024/11/22/5-things-to-know-before-the-stock-market-opens-friday-november-22.html?&qsearchterm=stocks
Goldman’s hedge fund stock list is up 30% this year. Here’s what’s in it,https://www.cnbc.com/2024/11/21/goldmans-hedge-fund-stock-list-is-up-30percent-in-2024-heres-whats-in-it.html?&qsearchterm=stocks
Goldman says this pharma stock can rally nearly 70% thanks to key cancer treatment,https://www.cnbc.com/2024/11/21/goldman-says-this-pharma-stock-can-rally-nearly-70percent.html?&qsearchterm=stocks
5 things to know before the stock market opens Thursday,https://www.cnbc.com/2024/11/21/5-things-to-know-before-the-stock-market-opens-thursday-november-21.html?&qsearchterm=stocks
Oppenheimer’s top stock picks heading into year-end,https://www.cnbc.com/2024/11/20/oppenheimers-top-stock-picks-heading-into-year-end.html?&qsearchterm=stocks
European stocks close higher; JD Sports slumps 16% after warning on profit,https://www.cnbc.com/2024/11/21/european-markets-live-updates-stocks-news-data-and-earnings.html?&qsearchterm=stocks
Asian chip stocks slump as Nvidia’s slowing revenue growth worries investors,https://www.cnbc.com/2024/11/21/asian-chip-stocks-slump-as-nvidias-slowing-revenue-growth-worries-investors-.html?&qsearchterm=stocks
"It’s been a wild couple of weeks for stocks with no reckoning, says Jim Cramer",https://www.cnbc.com/video/2024/11/22/its-been-a-wild-couple-of-weeks-for-stocks-with-no-reckoning-says-jim-cramer.html?&qsearchterm=stocks
Dow closes more than 450 points higher as investors snap up stocks tied to the ...,https://www.cnbc.com/2024/11/20/stock-market-today-live-updates.html?&qsearchterm=stocks
The 10-year Treasury yield is looming as a potential anchor on stocks,https://www.cnbc.com/2024/11/20/the-10-year-treasury-yield-is-looming-as-a-potential-anchor-on-stocks.html?&qsearchterm=stocks
"3-Stock Lunch: Target, Williams-Sonoma and Palo Alto",https://www.cnbc.com/video/2024/11/20/3-stock-lunch-target-williams-sonoma-and-palo-alto.html?&qsearchterm=stocks
Burberry shares are down 40%. One hedge fund manager says the stock offers ‘good value’ ...,https://www.cnbc.com/2024/11/20/burberry-shares-brby-are-good-value-says-hedge-fund-manager.html?&qsearchterm=stocks
"3-Stock Lunch: Target, Williams-Sonoma and Palo Alto",https://www.cnbc.com/video/2024/11/20/3-stock-lunch-target-williams-sonoma-and-palo-alto.html?&qsearchterm=stocks
Jim Cramer wants to buy this falling tech stock — and touts another reason to ...,https://www.cnbc.com/2024/11/20/jim-cramer-wants-to-buy-this-falling-tech-stock-and-touts-another-reason-to-like-disney.html?&qsearchterm=stocks
"Wells Fargo sees another big stock market gain in 2025 on strong economy, deregulation under ...",https://www.cnbc.com/2024/11/20/wells-fargo-sees-another-big-stock-market-gain-in-2025-on-strong-economy-deregulation-under-trump.html?&qsearchterm=stocks
"Stocks making the biggest moves midday: Target, Nvidia, AppLovin, Williams-Sonoma and more",https://www.cnbc.com/2024/11/20/stocks-making-the-biggest-moves-midday-tgt-nvda-app-wsm.html?&qsearchterm=stocks
