sentence,Label
last random sentence writing going stop midsentiwe need rent room partymyeah think good environment learning englishtthe lake long way japanese dollei hear nancy prettyhshe short see fencefhe told us exciting adventure storyshe always speaks loud voiceii want detailed informationvi checked make sure still alivemid rather bird fish,0
mary plays piano,0
best help,0
borrowed book many years ago hasnt yet returned,0
wrote long letter didnt read,0
please wait outside house,0
two seats vacant,0
tom got small piece pie,0
folded handkerchief neatly,0
lot rain june,0
never home sundays,0
dont step broken glass,0
advised come back,0
let help baggage,0
book front table,0
mysterious diary records voice,0
stranger officiates meal,0
shooter says goodbye love,0
glittering gem enough,0
memory used share longer coherent,0
old apple revels authority,0
rock music approaches high velocity,0
sixtyfour comes asking bread,0
abstraction often one floor,0
river stole gods,0
joe made sugar cookies susan decorated,0
sky clear stars twinkling,0
waves crashing shore lovely sight,0
white conditions town subsequently roads impassable,0
check back tomorrow see book arrived,0
said yesterday however many people saw,0
happy take donation amount greatly appreciated,0
paints bold colors like pastels,0
works two jobs make ends meet least reason time join us,0
malls great places shop find everything need one roof,0
italy favorite country fact plan spend two weeks next year,0
turned research paper friday otherwise would passed class,0
cheat test right thing,0
think buy red car lease blue one,0
really want go work sick drive,0
counting calories yet really want dessert,0
ran money stop playing poker,0
got early got really good seats,0
ice cream freezer money go store,0
everyone busy went movie alone,0
would gotten promotion attendance wasnt good enough,0
getting dark werent yet,0
cats good pets clean noisy,0
never asia visited africa,0
didnt want go dentist yet went anyway,0
sometimes stare door wall wonder reality alive,0
need pick pen begin,0
known going happen would never stepped shower,0
hadnt cup coffee made things worse,0
wanted answer idea much would hate,0
must five oclock somewhere,0
went back video see recorded shocked saw,0
behind window reflection instilled fear,0
came win 1 million,0
could hear shower singing joy hoped hed retain delivered news,0
looked window saw clown walk,0
time place wasnt,0
best sandcastle ever seen,0
theres art getting way spitting olive pits across table isnt,0
say dogs mans best friend cat setting sabotage theory,0
course loves pink bunny slippers,0
dont put peanut butter dogs nose,0
live life however wants long listens say,0
things better life slice pie,0
people wander lost,0
knives sharpening,0
felt chill makes hairs back neck walked room,0
dont piss garden tell youre trying help plants grow,0
found end rainbow surprised found,0
two days problems would solved,0
love like pizza,0
theres reason roses thorns,0
looked behind door didnt like saw,0
fumbled darkness looking light switch finally found someone already,0
barked orders daughters stared back amusement,0
hidden stash underneath floorboards back room house,0
nobody loves pig wearing lipstick,0
called name time met nothing silence,0
accidentally hacked companys server,0
cant compare apples oranges bananas plantains,0
doesnt sound like ever travel list,0
swore saw sushi move,0
reached point paranoid paranoid,0
sun set dreams,0
learned important lesson picnic beach windy day bad idea,0
careful butter knife,0
didnt heed warning turned surprisingly well,0
slippery slope willing slide way deepest depths,0
would survive kept fire going could hear thunder distance,0
confidence would bee admirable wasnt stupidity,0
let balloon float air hopes dreams,0
sevenlayer cake six layers,0
