sentence,Label
technopolis plans develop stages area less 100000 square meters order host companies working computer technologies telecommunications statement said,1
international electronic industry company elcoteq laid tens employees tallinn facility contrary earlier layoffs company contracted ranks office workers daily postimees reported,1
new production plant company would increase capacity meet expected increase demand would improve use raw materials therefore increase production profitability,1
according company updated strategy years 20092012 basware targets longterm net sales growth range 20 40 operating profit margin 10 20 net sales,1
financing aspocomp growth aspocomp aggressively pursuing growth strategy increasingly focusing technologically demanding hdi printed circuit boards pcbs,1
last quarter 2010 componenta net sales doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m,1
third quarter 2010 net sales increased 52 eur 2055 mn operating profit 349 eur 235 mn,1
operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 net sales,1
operating profit totalled eur 211 mn eur 186 mn 2007 representing 97 net sales,1
teliasonera tlsn said offer line strategy increase ownership core business holdings would strengthen eesti telekom offering customers,1
stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised fair value shares four largest nordic forestry groups,1
purchase agreement 7200 tons gasoline delivery hamina terminal finland signed neste oil oyj average platts index september plus eight us dollars per month,1
finnish talentum reports operating profit increased eur 205 mn 2005 eur 93 mn 2004 net sales totaled eur 1033 mn eur 964 mn,1
clothing retail chain seppl sales increased 8 eur 1552 mn operating profit rose eur 311 mn eur 171 mn 2004,1
consolidated net sales increased 16 reach eur74 8 operating profit amounted eur0 9 compared loss eur0 7 prior year period,1
foundries division reports sales increased 97 eur 631 mn eur 575 mn corresponding period 2006 sales machine shop division increased 164 eur 412 mn eur 354 mn corresponding period 2006,1
helsinki afx shares closed higher led nokia announced plans team sanyo manufacture 3g handsets nokian tyres fourthquarter earnings report beat analysts expectations dealers said,1
incap contract manufacturing services pvt ltd subsidiary incap corporation finland plans double revenues 20072008,1
board directors propose dividend eur0 12 per share 2010 eur0 08 per share paid 2009,1
lifetree founded 2000 revenues risen average 40 margins late 30s,1
filippova trilateral agreement investment construction technology park st petersburg signed course forum days russian economy opened helsinki today,1
megafon subscriber base increased 161 2009 505 million users december 31 market share number customers amounted 24 late 2009 23 late 2008 according teliasonera estimates,1
net income life insurance doubled eur 68 mn eur 32 mn net income nonlife insurance rose eur 52 mn eur 15 mn corresponding period 2009,1
net sales increased eur193 3 eur179 9 pretax profit rose 342 eur43 1 eur1 usd1 4,1
net sales surged 185 eur167 8 teleste said eur20 4 122 sales came acquisitions made 2009,1
nordea group operating profit increased 2010 18 percent yearonyear 364 billion euros total revenue 3 percent 933 billion euros,1
operating profit ninemonth period increased eur13 6 net sales increased eur394 7 compared corresponding period 2005,1
operating profit ninemonth period increased eur3 1 net sales increased eur61 5 compared corresponding period 2007,1
operating profit threemonth period increased eur1 2 revenue increased eur20 2 compared corresponding period 2005,1
brazilian unit finnish security solutions provider fsecure signed 1500 new clients last year online news source reseller web quoted division commercial director vladimir brando saying,1
company net profit rose 114 year 822 million euros 2005 sales 6865 million euros 138 year company said earlier,1
lithuanian beer market made 1441 million liters january rise 08 percent yearearlier figure lithuanian brewers association reporting citing results members,1
viking line cargo revenue increased 54 eur 2146 mn cargo volume increased 24 70116 cargo units,1
fair value property portfolio doubled result kapiteeli acquisition totalled eur 26862 12597 million,1
10 february 2011 finnish media company sanoma oyj hel saa1v said yesterday 2010 net profit almost tripled eur297 3 eur107 1 2009 announced proposal raised payout,1
helsinki eliiv today reported eps eur1 13 2009 increase eps eur1 12 2008,1
aspo plc stock exchange release february 11 2011 at8 45 esl shipping ltd part aspo group signed new longterm contract rautaruukki corporation marine transport raw materials baltic sea,1
commission income increased 22 eur 44 mn lending volume rose 135,1
january traffic measured revenue passenger kilometres rpk went 32 capacity measured available seat kilometres ask rose 122,1
januaryseptember 2010 fiskars net profit went 14 yearonyear eur 654 million net sales eur 5253 million eur 4877 million,1
net income life insurance rose eur 165 mn eur 140 mn net income nonlife insurance eur 226 mn eur 152 mn 2009,1
nyrstar also agreed supply talvivaara 150000 tonnes sulphuric acid per annum use talvivaara leaching process period supply zinc concentrate,1
sales department store division hobby hall increased 7 sales clothing store subsidiary seppala decreased 4,1
sales risen export markets,1
sales increased due growing market rates increased operations,1
agreement strengthens longterm partnership nokia siemens networks,1
agreement signed biohit healthcare ltd ukbased subsidiary biohit oyj finnish public company develops manufactures markets liquid handling products diagnostic test systems,1
company also estimates already carried investments lead increase net sales 2010 2009 reached eur 1417 million,1
company order book stood 15 bln euro 22 bln september 30 2007 242 pct year international orders amounting 365 mln euro 5343 mln,1
company said paper demand increased main markets including publication papers increased average paper prices 4 percent compared last year,1
world second largest stainless steel maker said net profit threemonth period dec 31 surged euro603 million us 781 million euro3 33 us 431 per share euro172 million euro0 94 per share previous year,1
within framework partnership nokia siemens networks signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic components russia,1
seppala revenue increased 02 eur10 1 finland revenue went 24 eur6 8 sales abroad rose 62 eur3 3 sales increased baltic countries well russia ukraine,1
shares standard chartered stan rose 12 ftse 100 royal bank scotland rbs shares rose 2 barclays shares barc bcs 17,1
shares nokia corp rose thursday cell phone maker said thirdquarter earnings almost doubled share global handset market increased,1
financial report published friday seb said net profit soared sek6 745 bn 2010 yearearlier sek1 114 bn proposed 50 dividend increase sek1 50 per share,1
sales department store division increased 15 sales clothing store subsidiary seppala increased 8 meanwhile sales hobby hall decreased 12,1
request finnish media company alma media newspapers research manager jari kaivooja finland futures research centre turku school economics drawn future scenario finland national economy using model developed university denver,1
sweden gallerix accumulated sek denominated sales 1 eur denominated sales 11,1
company supports global customers developing new technologies offers fast route product development applications volume production,1
investment place atria plans expand moscow market,1
new agreement continuation theagreement signed earlier year lemminkainen group whereby cramo acquired entire construction machine fleet oflemminkainen talo oy ita ja pohjois suomo signed asimilar agreement said tatu hauhio managing director ofcramo finland,1
first contract envisaged construction three ferryboats option two units confirmed total value 500 mln euro 6458 mln,1
june sold 30 percent stake nordstjernan investment group taken option acquire eqt remaining shares,1
kesko corporation stock exchange release 28022008 0930 1 1 kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,1
sponda plc stock exchange release 5 december 2006 1545 eur 15 billion syndicated credit facility sponda sponda signed agreement oneyear syndicated credit facility total eur 15 billion,1
stock exchange announcement 20 july 2006 1 1 basware share subscriptions warrants increase share capital total 119 850 shares subscribed basware warrant program,1
contract covers hdo platform ac800 cxe880 optical fttb nodes designed increase forward return path capacity transmission networks,1
new plant planned electricity generation capacity 350 megawatts mw heat generation capacity,1
omx helsinki 25 index 092 pct 251867 helsinki cap portfolio index 091 pct higher 471119,1
sales growth cars considerably influence tires market,1
maximum 666104 new shares subscribed exercising b options 2004 stock option plan,1
result share issue number company shares increases 391630 shares share capital total eur 1566520,1
finnish real estate investor sponda plc said wednesday 12 march signed agreements danske bank helsinki branch 7year eur150m credit facility ilmarinen mutual pension insurance company 7year eur50m credit facility,1
route helsinki finland tallinn estonia cargo volumes increased 36 cargo volumes finland sweden fell 9,1
measures included increasing synergies economies scale within grimaldi group personnel adjustments divestments redelivery excess tonnage,1
rinkuskiai raised sales 181 percent 137 million liters sales kauno alus grew 143 percent 960000 liters,1
telecomworldwire7 april 2006tj group plc sells stake morning digital design oy finnish company tj group plc said friday 7 april signed agreement selling shares morning digital design oy edita oyj,1
